system bin_center bin_width bin_content err_stat err_syst
pAu 0.05 0.1 1.2124 0.337305 0.112329
pAu 0.15 0.1 1.33185 0.246871 0.0585204
pAu 0.3 0.2 1.54208 0.201827 0.0914667
pAu 0.5 0.2 1.69138 0.358681 0.0293577
pAu 0.75 0.3 1.67814 0.686501 0.12627
pAu 0.95 0.1 -1e+09 0 0
pAl 0.05 0.1 1.15297 0.329666 0.104558
pAl 0.15 0.1 1.37127 0.259743 0.0597319
pAl 0.3 0.2 1.5161 0.202495 0.105802
pAl 0.5 0.2 1.62229 0.350024 0.0325543
pAl 0.75 0.3 1.52033 0.634442 0.101732
pAl 0.95 0.1 -1e+09 0 0
