system bin_center bin_width bin_content err_stat err_syst
pAu 0.05 0.1 1.83941 0.539815 0.339706
pAu 0.15 0.1 1.4096 0.222917 0.0434764
pAu 0.3 0.2 1.21675 0.119692 0.101348
pAu 0.5 0.2 0.955988 0.120167 0.0816499
pAu 0.75 0.3 0.933328 0.210616 0.0353107
pAu 0.95 0.1 -1e+09 0.886154 0.199551
pAl 0.05 0.1 1.67467 0.500545 0.29312
pAl 0.15 0.1 1.3028 0.211182 0.0127208
pAl 0.3 0.2 1.14319 0.115625 0.099815
pAl 0.5 0.2 1.01101 0.130857 0.0754735
pAl 0.75 0.3 0.878371 0.204761 0.0403988
pAl 0.95 0.1 -1e+09 0.84709 0.271286
